name,lat,lon,status,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
嘉島小学校,33.224319,132.364288,,38203,嘉島小学校,愛媛県宇和島市戸島4110番地,一時避難場所,1473,1473,0,0,0,0,0,1,1,,33.224319,132.364288,882
夏秋農道（オワチマン）,33.17561929,132.513677,,38203,夏秋農道（オワチマン）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.17561929,132.513677,883
家藤集会所,33.255385,132.572445,,38203,家藤集会所,愛媛県宇和島市高串2番耕地259番地1（家藤）,収容施設,-1,-1,0,0,0,0,0,1,1,,33.255385,132.572445,884
河内中集会所,33.290472,132.506132,,38203,河内中集会所,愛媛県宇和島市吉田町河内甲579番地,一時避難場所,100,-1,0,0,0,0,0,1,1,,33.290472,132.506132,885
河内中住民レク広場,33.28864711,132.5034456,,38203,河内中住民レク広場,愛媛県宇和島市吉田町河内甲564,一時避難場所,2400,-1,0,0,0,0,0,1,3,宇和島市の回答より,33.28864711,132.5034456,886
河野さん宅裏の竹やぶ,33.28023553,132.5370041,,38203,河野さん宅裏の竹やぶ,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.28023553,132.5370041,887
河野悦徳宅裏墓地,33.12341709,132.5600069,,38203,河野悦徳宅裏墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12341709,132.5600069,888
河野正義宅裏山（お宮裏山）,33.11789673,132.468754,,38203,河野正義宅裏山（お宮裏山）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.11789673,132.468754,889
河野展治宅裏山,33.12715483,132.5455017,,38203,河野展治宅裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12715483,132.5455017,890
賀茂神社,33.319966,132.434317,,38203,賀茂神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.319966,132.434317,891
海円寺境内の上,33.171966,132.291631,,38203,海円寺境内の上,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.171966,132.291631,892
海光寺（墓地）裏山,33.0886636,132.4674594,,38203,海光寺（墓地）裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.0886636,132.4674594,893
海蔵寺,33.27149748,132.5440549,,38203,海蔵寺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.27149748,132.5440549,894
笠岡徳男さん宅上の墓地,33.15173736,132.305008,,38203,笠岡徳男さん宅上の墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.15173736,132.305008,895
甘崎集会所,33.191658,132.456407,,38203,甘崎集会所,愛媛県宇和島市遊子4048番地（甘崎）,収容施設,-1,-1,0,0,0,0,0,1,1,,33.191658,132.456407,896
甘崎墓地,33.19352552,132.4541594,,38203,甘崎墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.19352552,132.4541594,897
観音寺,33.22871563,132.3626306,,38203,観音寺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.22871563,132.3626306,898
観音寺,33.21517992,132.5160615,,38203,観音寺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.21517992,132.5160615,899
観音寺,33.09823456,132.5082943,,38203,観音寺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.09823456,132.5082943,900
間久保池付近道路,33.12649375,132.5531455,,38203,間久保池付近道路,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12649375,132.5531455,901
丸山球場前駐車場,33.2274168,132.5771692,,38203,丸山球場前駐車場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.2274168,132.5771692,902
丸山公園,33.22912052,132.576374,,38203,丸山公園,愛媛県宇和島市和霊町555番地1,一時避難場所,37000,37000,0,0,0,0,0,1,1,,33.22912052,132.576374,903
丸山公園ピアノタウン団地,33.22621992,132.5748792,,38203,丸山公園ピアノタウン団地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.22621992,132.5748792,904
丸山公園運動広場,33.2287663,132.5749173,,38203,丸山公園運動広場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.2287663,132.5749173,905
岩松小学校,33.125177,132.520351,,38203,岩松小学校,愛媛県宇和島市津島町岩松甲503,収容施設、一時避難場所,11030,22084,0,0,0,0,0,1,1,,33.125177,132.520351,907
岩城裕三宅裏山,33.12721696,132.5483243,,38203,岩城裕三宅裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12721696,132.5483243,908
喜佐方公民館,33.29231573,132.5204136,,38203,喜佐方公民館,愛媛県宇和島市吉田町河内甲72番地1,一時避難場所,360,-1,0,0,0,0,0,1,4,,33.29231573,132.5204136,909
喜佐方小学校,33.292476,132.521617,,38203,喜佐方小学校,愛媛県宇和島市吉田町沖村甲2325-1,収容施設、一時避難場所,4120,-1,0,0,0,0,0,1,1,,33.292476,132.521617,910
喜佐方隧道西側市道（喜佐方側）,33.29110851,132.5361546,,38203,喜佐方隧道西側市道（喜佐方側）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.29110851,132.5361546,911
喜路集会所,33.151856,132.305429,,38203,喜路集会所,愛媛県宇和島市日振島3139番地（喜路）,収容施設,62,125,0,0,0,0,0,1,1,,33.151856,132.305429,912
寄松ふれあい広場,33.20203273,132.5480505,,38203,寄松ふれあい広場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.20203273,132.5480505,913
菊地荘奥の道路周辺,33.22480578,132.5778523,,38203,菊地荘奥の道路周辺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.22480578,132.5778523,914
吉田公園（ふれあいの森頂上）,33.28407195,132.5326935,,38203,吉田公園（ふれあいの森頂上）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,1,,33.28407195,132.5326935,915
吉田公園自由広場,33.28514168,132.5335459,,38203,吉田公園自由広場,愛媛県宇和島市吉田町鶴間新,一時避難場所,5240,-1,0,0,0,0,0,1,3,,33.28514168,132.5335459,916
吉田公民館,33.279456,132.539106,,38203,吉田公民館,愛媛県宇和島市吉田町西小路7番地,収容施設,1925,-1,0,0,0,0,0,1,1,,33.279456,132.539106,917
吉田高校,33.285056,132.540952,,38203,吉田高校,愛媛県宇和島市吉田町北小路甲10,収容施設、津波一時避難場所、一時避難場所,10385,-1,0,0,0,0,0,1,1,,33.285056,132.540952,918
吉田斎場,33.281772,132.54217,,38203,吉田斎場,愛媛県宇和島市吉田町東小路乙5番地,津波一時避難場所,-1,-1,0,1,0,0,0,0,1,,33.281772,132.54217,919
吉田児童公園,33.28000794,132.5394203,,38203,吉田児童公園,愛媛県宇和島市西小路7,一時避難場所,1960,-1,0,0,0,0,0,1,1,,33.28000794,132.5394203,920
吉田中学校（校舎）,33.287008,132.534312,,38203,吉田中学校（校舎）,愛媛県宇和島市吉田町鶴間新200,津波一時避難場所,-1,-1,0,1,0,0,0,0,1,,33.287008,132.534312,921
吉田中学校前国道３７８号沿い高台,33.28686892,132.5370453,,38203,吉田中学校前国道３７８号沿い高台,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.28686892,132.5370453,922
久保組集会所,33.297893,132.6261489,,38203,久保組集会所,愛媛県宇和島市三間町波岡599番地,収容施設,-1,-1,0,0,0,0,0,1,3,,33.297893,132.6261489,923
宮の浦集会所,33.31918447,132.5136461,,38203,宮の浦集会所,愛媛県宇和島市吉田町法花津1-8-1,一時避難場所,78,-1,0,0,0,0,0,1,3,,33.31918447,132.5136461,924
